id fam grp bmi smoke edu height cardio menarche
042732 4032 nat 3.79333e-06 -2.78165e-05 1.87978e-07 -3.51674e-05 4.24752e-05 -1.90118e-05
042734 4034 nat 7.71577e-06 1.24458e-05 1.30559e-06 -4.40817e-05 3.48919e-05 -1.93768e-05
042737 4037 nat 1.81835e-05 -9.71817e-06 2.57118e-06 -4.26499e-05 1.02229e-05 -3.20662e-05
101001 10001 mes -4.38554e-06 -2.40524e-05 5.40993e-06 -3.37336e-05 2.41465e-05 -2.24991e-05
101002 10002 mes 1.77971e-06 -3.48807e-05 8.73089e-06 -2.36879e-05 5.4479e-05 -2.7894e-05
101003 10003 mes -6.9121e-06 -2.96647e-05 -3.5412e-06 -2.96717e-05 7.63634e-05 -2.26717e-06
101004 10004 mes -1.0591e-05 -3.37269e-05 1.27482e-05 -2.62252e-05 6.64592e-05 -1.82947e-05
101005 10005 mes -2.87513e-06 -4.67943e-05 5.96026e-06 -2.89431e-05 2.08111e-05 -2.23951e-05
101006 10006 mes 3.11268e-06 -5.47357e-05 8.52541e-07 -2.68815e-05 2.43937e-05 -2.16068e-05
101007 10007 mes -3.6608e-06 -6.17702e-05 5.79284e-06 -2.14308e-05 4.32596e-05 -8.4187e-06
101008 10008 mes -4.39386e-06 -1.52281e-05 2.32823e-06 -2.12686e-05 4.50588e-05 -1.3229e-05
101009 10009 mes -1.75821e-06 -2.53598e-05 1.10513e-06 -2.23173e-05 6.62184e-05 -1.96282e-05
101700 10000 nat 1.11935e-05 -4.53596e-05 4.79346e-06 -3.769e-05 3.916e-05 4.66443e-06
101703 10003 nat 4.85547e-06 -1.7204e-05 -1.6183e-06 -3.96119e-05 4.55637e-05 -1.59833e-05
101709 10009 nat 9.62367e-06 -4.73127e-05 2.18949e-06 -5.41593e-05 5.16954e-05 -1.0395e-05
101718 10018 nat 5.66563e-06 -7.01213e-05 9.74922e-06 -3.18482e-05 2.94727e-05 -1.31963e-05
101723 10023 nat 5.80089e-06 -6.34321e-05 3.14459e-06 -5.08808e-05 4.19133e-05 -1.07271e-05
101727 10027 nat 1.20733e-05 -4.46553e-05 -1.84971e-06 -4.37106e-05 7.76624e-05 -1.98111e-05
101728 10028 nat 5.55833e-06 -4.92209e-05 -9.02255e-07 -4.69176e-05 6.78573e-05 -2.00232e-05
101730 10030 nat 1.07492e-05 -3.98701e-05 -1.11145e-06 -4.14085e-05 4.47765e-05 -2.17942e-05
101735 10035 nat 1.46019e-05 -1.24249e-05 3.282e-06 -4.65233e-05 4.74876e-05 -9.45538e-06
101739 10039 nat 1.24169e-05 -4.85935e-05 2.57812e-06 -4.23461e-05 2.21217e-05 -2.04333e-05
101740 10040 nat 6.98415e-06 -5.83952e-05 6.04271e-06 -4.40358e-05 2.48521e-05 -1.91746e-05
101798 10098 nat 1.2413e-05 -4.42031e-05 -2.08364e-06 -4.75928e-05 7.29857e-05 -2.23179e-05
